journal_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
139,0.000622,0.000692,0.002144,0.001829,0.000723,0.000736,0.000686,0.000774,0.006291,0.005685,0.005849,0.005992,0.000945,0.000876,0.001186,0.001161,0.003405,0.003684,0.000506,0.000469,0.002468,0.002253,0.000651,0.00067,0.000669,0.000647,0.002654,0.002889,0.000696,0.000762,0.003119,0.002878
140,0.003907,0.00378,0.007047,0.006956,0.006403,0.006509,0.006086,0.00625,0.001288,0.001135,0.004291,0.005132,0.00416,0.004428,0.000386,0.000424,0.00363,0.003234,0.000752,0.000529,0.000873,0.000868,0.000649,0.000848,0.005651,0.005537,0.000466,0.000544,0.000532,0.000604,0.00218,0.00232
141,0.003743,0.004005,0.001503,0.000732,0.001758,0.002005,0.003287,0.003272,0.000625,0.000595,0.000499,0.000568,0.00454,0.004678,0.000638,0.000636,0.001038,0.001062,0.004651,0.00448,0.000397,0.000482,0.000429,0.000369,0.003378,0.003466,0.000655,0.000671,0.006867,0.006979,0.000672,0.000591
142,0.001667,0.001709,0.001281,0.001528,0.001181,0.001323,0.000692,0.000958,0.000699,0.000645,0.00064,0.000781,0.001215,0.001676,0.002101,0.001707,0.000644,0.000618,0.00495,0.005117,0.000652,0.000634,0.002259,0.002066,0.000607,0.00072,0.000723,0.000559,0.002155,0.002067,0.000696,0.00056
143,0.000627,0.000658,0.000572,0.000752,0.000552,0.000753,0.000691,0.00072,0.000553,0.000582,0.000687,0.000603,0.000594,0.000716,0.003198,0.004023,0.004041,0.00407,0.002003,0.001842,0.00845,0.009148,0.005619,0.006134,0.000672,0.000634,0.003376,0.003155,0.000612,0.000687,0.000682,0.000737
144,0.000681,0.000632,0.000705,0.000639,0.001245,0.000742,0.002299,0.001858,0.000676,0.000568,0.000702,0.001141,0.000616,0.000655,0.008496,0.008264,0.000849,0.000587,0.000809,0.000903,0.006904,0.00703,0.006594,0.006853,0.000652,0.000914,0.006603,0.006605,0.001162,0.000888,0.010046,0.010049
145,0.001456,0.001434,0.004592,0.004555,0.000432,0.000629,0.00049,0.000452,0.006141,0.007442,0.007896,0.007164,0.000578,0.00061,0.000837,0.000788,0.003008,0.003114,0.000697,0.000651,0.000645,0.000747,0.000705,0.000696,0.003274,0.003351,0.000835,0.000676,0.000597,0.000659,0.002966,0.003038
146,0.001537,0.001491,0.001556,0.001724,0.003205,0.0032,0.002937,0.003302,0.00498,0.004386,0.002738,0.002856,0.016693,0.018257,0.000539,0.000862,0.008569,0.007491,0.000513,0.000539,0.000502,0.00058,0.000669,0.00056,0.009643,0.008122,0.000675,0.000546,0.001978,0.001841,0.000677,0.000712
147,0.002205,0.002789,0.000902,0.000818,0.002175,0.002527,0.002084,0.001595,0.000923,0.000824,0.001606,0.001721,0.002544,0.002654,0.000882,0.000848,0.001124,0.000718,0.007358,0.007484,0.000494,0.000543,0.000522,0.000778,0.000809,0.00079,0.000881,0.000828,0.008035,0.008329,0.001146,0.001079
148,0.000831,0.000771,0.00097,0.000817,0.000818,0.000794,0.000738,0.000917,0.000811,0.000833,0.000961,0.001057,0.000785,0.000996,0.000861,0.000796,0.000878,0.000779,0.002767,0.002823,0.001154,0.000987,0.000735,0.000928,0.000698,0.000819,0.000715,0.000785,0.005194,0.004874,0.0008,0.000886
149,0.000569,0.000555,0.000926,0.000994,0.000732,0.000737,0.000661,0.000671,0.000831,0.000808,0.000557,0.000618,0.000598,0.000704,0.00704,0.006803,0.000943,0.000948,0.000824,0.000807,0.005499,0.005464,0.009858,0.009086,0.000518,0.000567,0.00305,0.003108,0.000518,0.000622,0.00062,0.000626
150,0.000721,0.000775,0.000726,0.000769,0.000712,0.000673,0.000749,0.000768,0.000566,0.000611,0.000659,0.000682,0.000681,0.000731,0.003331,0.003195,0.000986,0.000803,0.000954,0.00091,0.004867,0.005175,0.003295,0.003501,0.00075,0.000877,0.008062,0.007884,0.000767,0.000736,0.008557,0.008635
151,0.006361,0.006079,0.004568,0.004861,0.00054,0.000601,0.001413,0.001243,0.005,0.004752,0.006698,0.006624,0.002052,0.001869,0.00077,0.000951,0.004715,0.004276,0.000718,0.000777,0.000581,0.000556,0.000574,0.000583,0.007716,0.007482,0.000599,0.000628,0.000684,0.000602,0.002524,0.0024
152,0.002619,0.002814,0.001313,0.00134,0.00559,0.004851,0.005787,0.006202,0.002246,0.00224,0.001806,0.001634,0.004735,0.00464,0.000683,0.000602,0.003349,0.003444,0.000563,0.000495,0.000574,0.000576,0.000604,0.000647,0.000908,0.000837,0.000531,0.000582,0.003428,0.003409,0.00063,0.000576
153,0.000896,0.000696,0.000884,0.000707,0.003787,0.003571,0.001342,0.001228,0.000722,0.000903,0.000791,0.000741,0.000734,0.000856,0.000926,0.000913,0.000683,0.000671,0.007526,0.007575,0.000694,0.000571,0.000649,0.000644,0.001014,0.000738,0.000883,0.000866,0.00512,0.006262,0.001103,0.001225
154,0.000755,0.00082,0.000799,0.00088,0.000696,0.000975,0.00066,0.000753,0.001134,0.000849,0.000936,0.000911,0.000724,0.001243,0.002708,0.002424,0.000906,0.000737,0.004691,0.004689,0.001147,0.000979,0.000962,0.000889,0.000728,0.000774,0.000808,0.000801,0.001598,0.001349,0.000969,0.001044
