journal_ops,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
58,23088,22638,6510,39563,10659,11058,12068,13909,8530,8425,28941,27017,39443,41675,17623,16488,43918,41233,39760,40652,30539,31957,34173,34581,32183,32005,26210,27468,39705,37886,23040,22803
59,28207,27946,12295,9671,15594,16245,17423,19236,13925,13705,34290,32035,44725,47131,22875,21700,7628,7393,45227,46004,35980,37233,39644,40048,4687,37443,31652,32706,44918,43359,28359,28148
60,34097,34026,17784,15437,21448,22210,23305,25407,19740,19448,5866,37797,11470,11549,28969,27370,13235,13214,11951,12098,41718,42876,45318,8440,10117,7816,37082,38262,10679,10916,34340,33766
61,7594,40747,26043,22408,28839,29455,30060,32620,26762,27266,13220,10099,19304,18629,36274,34562,20349,20464,20517,18888,13169,13532,14804,15394,18183,15186,7986,8229,18155,18672,41141,40597
62,14264,13212,32285,29768,35217,36959,37168,39614,34084,34021,19974,17685,26304,26634,43627,41541,27834,27449,26733,26605,20782,20816,22393,22954,24395,22582,15455,15568,25318,25562,11310,11217
63,21577,19006,38280,35786,41124,42655,43072,9461,40254,40002,25673,23041,31416,32332,13740,12082,33615,33171,32732,32382,26523,26974,28116,28665,29628,28088,21339,22153,31122,31246,17160,17042
64,26496,26036,9799,7808,11949,12472,15004,16280,9106,9090,32581,30150,38652,39618,19820,18798,40463,39767,39259,39459,33349,33535,34888,35559,36423,34965,27429,28609,37916,37704,24359,24032
65,31514,31401,14960,12996,16980,17703,20204,21607,14313,14464,37936,35353,7570,7971,25193,23940,9324,9598,44729,44643,38756,38913,40302,40956,8159,5505,32438,33816,43187,42935,29834,29494
66,37899,38309,22080,19472,23216,24261,26434,28171,20839,20785,8025,6476,14195,14708,32122,30331,16003,15722,14871,13578,7747,7844,7816,8861,14599,11888,39197,40344,12612,12520,36291,36293
67,11611,10392,30243,27031,30517,32442,34192,35876,28752,29295,15621,13881,21574,23014,39794,37848,23795,23028,22942,21285,14560,16600,15176,17606,22004,19497,10922,11327,21712,21073,43897,43333
68,17547,15126,35841,33342,36738,38484,40489,42598,34882,35146,22123,20477,28166,29361,46222,44128,30287,29773,28453,28224,21830,22300,21955,23054,28473,26773,17505,18048,26833,26613,12191,12675
69,24034,22011,43048,39826,43227,44916,46990,49350,41020,41279,28457,26350,34692,36222,13101,11847,37019,36549,35101,34973,28290,28516,28428,29302,34562,33247,24141,24698,33199,33169,18909,19776
70,29909,27900,9951,9313,10175,10684,14850,15694,47400,47613,34525,32832,40619,42277,19071,17661,42913,42125,41085,40658,33976,34903,34526,35762,5252,39253,29930,30903,39413,39395,25142,25602
71,34623,32709,14827,13984,15031,15690,19838,20870,13091,12695,4281,37577,45414,47422,23938,22457,10310,8795,5301,5547,38912,40064,39361,40662,10185,8256,34735,35812,44160,44260,29947,30424
72,6154,39028,21330,20186,20838,21635,26518,26875,19482,19113,10600,7701,12438,14229,30278,28489,16524,14704,11255,11704,44903,46021,8725,9181,16211,14199,40671,41927,11179,11243,35854,36647
73,13951,11434,29232,28250,28917,30205,33783,34885,27678,27323,18718,15737,20642,22831,38905,36550,24720,22670,19507,19903,15590,15801,16756,17709,23929,22512,49211,50321,19320,19465,44526,44882
74,21892,19444,37146,36040,36730,38140,41785,43322,35691,35407,26891,23710,28557,31113,46634,44169,32925,30386,27659,28160,23719,23878,25247,25539,31960,30884,17673,17809,27697,26929,13303,13927
75,28909,26315,44127,43217,43601,45166,48551,50185,42414,42216,33955,30821,35320,38471,14757,13164,39539,37241,34283,35096,30377,31065,31965,32722,38766,38004,24185,25071,34446,33998,20061,20696
76,33229,31337,11693,11360,11893,10514,15553,16409,46931,47145,38649,35422,40150,43482,19606,17937,44531,41675,39160,39699,35282,35909,36843,37547,9942,9000,28891,29660,39219,38755,24915,25502
77,39299,37114,17879,16776,17442,16852,21383,22418,14584,13892,8997,5823,6495,8602,25651,23803,11980,11891,8346,7924,41166,42056,42507,43469,15520,15268,34592,36062,6212,6367,30976,31399
