op_rw,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
106,50,50,100,100,0,50,100,100,150,200,50,0,50,50,0,100,100,50,100,50,100,0,100,100,50,50,50,50,100,50,200,100
107,50,50,100,100,0,50,100,100,150,200,50,0,50,50,0,100,100,50,100,50,100,0,100,100,50,50,50,50,100,50,200,100
108,50,50,100,100,0,50,100,100,150,200,50,0,50,50,0,100,100,50,100,50,100,0,100,100,50,50,50,50,100,50,200,100
109,50,50,100,100,0,50,100,100,150,200,50,0,50,50,0,100,100,50,100,50,100,0,100,100,50,50,50,50,100,50,200,100
110,52,52,104,104,0,52,104,104,156,208,52,0,52,52,0,104,104,52,104,52,104,0,104,104,52,52,52,52,104,52,208,104
111,52,52,104,104,0,52,104,104,156,208,52,0,52,52,0,104,104,52,104,52,104,0,104,104,52,52,52,52,104,52,208,104
112,52,52,104,104,0,52,104,104,156,208,52,0,52,52,0,104,104,52,104,52,104,0,104,104,52,52,52,52,104,52,208,104
113,52,52,104,104,0,52,104,104,156,208,52,0,52,52,0,104,104,52,104,52,104,0,104,104,52,52,52,52,104,52,208,104
114,54,54,108,108,0,54,108,108,162,216,54,0,54,54,0,108,104,52,104,52,104,0,104,104,54,54,54,54,108,54,216,108
115,54,54,108,108,0,54,108,108,162,216,54,0,54,54,0,108,108,54,108,54,108,0,108,108,54,54,54,54,108,54,216,108
