loadavg,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
75,5737,5737,5737,5737,5737,5737,5737,5737,4446,4446,4328,4446,4328,4446,4328,4446,5577,5577,5979,5979,5979,5979,5979,5979,4035,4186,4035,4186,4035,4035,4035,4035
76,5737,5737,5737,5737,5737,5737,5737,5737,4446,4446,4328,4446,4328,4446,4446,4446,5577,5979,5979,5979,5979,5979,5979,5979,4035,4035,4035,4035,4035,4035,4035,4035
77,5737,5737,5737,5742,5737,5737,5737,5737,4446,4446,4328,4446,4446,4446,4446,4446,5979,5979,5979,5979,5979,5979,5979,5979,4035,4035,4035,4035,4096,4035,4035,4035
78,5742,5742,5742,5742,5742,5737,5742,5742,4446,4446,4722,4446,4446,4446,4722,4446,5979,5979,5979,5979,5979,5979,5979,5979,4096,4035,4096,4035,4096,4035,4035,4035
79,5742,5742,5742,5742,5742,5742,5742,5742,4722,4446,4722,4446,4446,4446,4722,4446,5979,5979,5979,5979,5645,5645,5979,5979,4096,4096,4096,4035,4096,4035,4096,4035
80,5742,5742,5742,5742,5742,5742,5742,5742,4722,4722,4722,4722,4722,4446,4722,4722,5979,5979,5645,5645,5645,5645,5645,5979,4096,4096,4096,4035,4096,4035,4096,4035
81,5742,5742,5742,5742,5742,5742,5742,5742,4722,4722,4722,4722,4722,4722,4722,4722,5979,5645,5645,5645,5645,5645,5645,5645,4096,4096,4096,4096,4096,4096,4096,4096
82,5742,5742,5742,6107,5742,5742,6107,5742,4722,4722,4722,4722,4722,4722,4722,4722,5645,5645,5645,5645,5645,5645,5645,5645,4137,4096,4096,4096,4096,4137,4096,4137
83,5742,6107,5742,6107,5742,6107,6107,5742,5033,4722,5033,4722,4722,5033,5033,4722,5645,5645,5645,5645,5645,5645,5645,5645,4137,4096,4137,4096,4096,4137,4096,4137
84,6107,6107,6107,6107,5742,6107,6107,6107,5033,4722,5033,4722,5033,5033,5033,5033,5953,5645,5645,5645,5953,5645,5645,5645,4137,4096,4137,4096,4137,4137,4137,4137
