op,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
171,342443,374960,363177,335526,341476,380154,354834,342147,347142,374969,352466,362005,345174,365992,349627,362798,357290,354857,360318,353266,341696,351997,358981,348099,369422,355589,368846,371180,346405,346727,398468,355718
172,345421,378307,366323,338240,344528,382989,357590,344835,350058,378105,355490,365018,348025,369164,352689,365714,358599,356179,361740,354847,343079,353469,360326,349368,372365,358312,371725,374063,349044,349420,401494,358458
173,347387,380368,368425,340401,346355,385552,359896,347103,352086,380408,357364,367207,350119,371240,354658,368023,361876,359407,364905,357901,345921,356322,363444,352498,374727,360531,374175,376490,351395,351537,404263,360730
174,348819,381907,369887,341792,347703,387145,361440,348661,353490,381967,358807,368678,351533,372682,356072,369547,363556,361115,366901,359701,347706,358447,365334,354288,376372,361950,375729,377967,352851,353202,405832,362215
175,350949,383984,371963,343694,349742,389283,363431,350589,355370,384109,360813,370758,353525,374811,358182,371597,365004,362588,368370,361231,349182,359776,366803,355666,378331,363966,377838,380117,354764,355064,408084,364269
176,352757,386012,373941,345589,351547,391293,365410,352486,357386,386259,362743,372652,355426,376897,359935,373541,367096,364624,370418,363231,351088,361797,368879,357754,380401,365764,379735,382235,356511,356871,410307,366047
177,354947,388329,376080,347521,353579,393549,367683,354503,359535,388837,364902,374951,357399,378957,362200,375939,369122,366544,372412,365142,353035,363842,370750,359550,382468,367733,381871,384230,358427,358923,412483,368068
178,357434,391280,378709,349843,355954,396254,370064,356989,362087,391384,367612,377793,359993,381828,364728,378270,372113,369267,375117,368209,355077,366048,373076,361972,385386,370443,384824,387043,361112,361367,415585,370596
179,359190,393230,380440,351710,357944,398220,372080,359004,363832,393179,369275,379605,361610,383604,366218,380375,374005,371408,377232,369901,357499,368611,375464,364086,387170,372313,386412,388804,362721,363064,417577,372398
180,361204,395596,382600,353519,359830,400448,374131,360928,365943,395304,371118,381553,363555,385621,368340,382361,375806,373272,379114,371784,359367,370470,377309,366078,389468,374489,388578,391100,364811,365210,419882,374673
181,363352,397975,384931,355783,361983,402990,376447,362936,368091,397664,373477,383877,365814,388095,370455,384812,378018,375230,381296,373763,361238,372535,379632,368189,391903,376751,391032,393782,367178,367378,422766,376920
182,366200,400931,387668,358349,364549,406188,379084,365559,370752,400830,376030,386444,368268,390600,373391,387935,380211,377535,383403,375904,363413,374646,381724,370329,394520,379354,393617,396288,369653,369944,425655,379367
183,368278,402979,389986,360422,366829,408240,381305,367557,372818,402976,378184,389002,370617,392989,375365,389792,383033,380477,386400,378737,366234,377244,384289,372771,396986,381563,396323,398842,372067,372205,428034,381831
184,370061,404997,391770,362330,368605,410343,383272,369357,374752,404903,380208,390851,372542,395117,377121,391724,385262,382382,388475,380853,368216,379630,386856,375206,398992,383483,398144,400778,373794,374083,430406,383840
185,372470,406983,393579,363981,370272,412156,385454,371214,376350,406710,381770,392632,374013,396660,378650,393407,386990,384337,390265,382703,370148,381350,388689,376972,400711,384956,400083,402306,375455,375573,432136,385349
186,373587,408814,395442,365656,371945,414078,386843,372855,378313,408758,383722,394579,375961,398783,380699,395533,389075,386330,392244,384993,372190,383365,390965,378754,402676,387121,401880,404734,377292,377521,434316,387420
187,376251,411485,398081,368103,374366,416905,389488,375358,380603,411364,386106,397230,378493,401451,383217,398109,390491,387987,394089,386289,373734,384912,392406,380644,405589,389577,404605,407359,379858,379913,437058,389824
188,378566,414191,400294,370291,376490,419292,392189,378181,383067,413822,388652,399449,380733,403803,385548,400435,393098,390633,396677,388855,376246,387416,395133,383077,407998,392010,407155,410236,382252,382138,439797,392136
189,380582,416513,402773,372520,378742,421751,394145,379829,385216,416455,390916,401885,383246,406374,387775,402780,395441,392965,398997,391345,378517,389674,397421,385212,410482,394466,409481,412436,384720,384522,442429,394407
190,382470,418600,404828,374527,380635,423826,395986,381812,386896,418427,392723,403970,385098,408184,389545,404742,397821,395309,401259,393419,380747,392152,399734,387295,412528,396466,411440,414380,386536,386574,444434,396340
191,384318,420602,406712,376220,382544,425850,397948,383593,388717,420368,394714,405849,387014,410241,391468,406703,399832,397124,403386,395494,382598,394001,401671,389356,414420,398352,413376,416316,388400,388405,446706,398279
192,386312,422890,408882,378263,384713,428242,400147,385625,390946,422719,396746,408136,389096,412499,393669,408834,401772,399130,405313,397392,384459,395930,403565,391223,416752,400518,415785,418576,390487,390508,449241,400535
193,388724,425677,411647,380863,387261,431024,402637,388259,393516,425542,399212,410799,391686,415036,396088,411599,404047,401277,407551,399483,386610,398031,405943,393296,419375,403170,418466,421414,393053,393077,452184,403131
194,391309,428266,414612,383638,389617,433908,405597,390561,396081,428294,401765,413628,394286,417708,398624,414252,406638,403802,410228,402000,389128,400637,408615,395876,422298,405725,421198,424279,396060,395585,455250,405389
195,393136,430264,416118,385202,391413,435639,407060,392542,397785,429990,403502,415283,395897,419581,400402,416238,409672,406344,412810,404844,391795,403230,411110,398450,423926,407428,422965,426074,397547,397410,456989,407442
196,395107,432381,418306,387015,393552,437922,409214,394425,399964,432289,405697,417512,397993,421816,402540,418400,411199,408143,414575,406315,393417,404981,413040,400298,426211,409632,425264,428260,399577,399537,459521,409545
197,396965,434744,420263,389017,395510,440060,411284,396457,401887,434562,407745,419443,399886,423778,404655,420509,413358,410142,416699,408399,395404,406989,415053,402346,428323,411656,427390,430412,401601,401524,461804,411834
198,399007,436773,422381,390760,397314,442181,412976,398329,403900,436621,409826,421532,401984,425994,406604,422578,415485,412251,418698,410519,397359,409144,417111,404498,430548,413730,429502,432574,403638,403425,464149,413685
199,401324,439177,424861,393059,399598,444796,415424,400627,406229,439138,412141,423829,404189,428281,409060,424934,417451,414244,420630,412502,399332,410978,419225,406431,432975,415908,431824,434861,405965,405703,466705,415876
200,403252,441235,426912,395342,401422,446938,417352,402331,408193,441743,413859,426219,406360,430332,411153,427296,419816,416537,423130,414650,401702,413147,421442,408692,434862,417923,433637,437201,407857,407324,468914,417758
201,404718,442827,428600,396458,403029,448528,418882,403915,409682,442844,415489,427381,407891,431929,412435,428512,421956,418710,424996,416584,403639,415165,423253,410637,436658,419463,435502,438757,409270,408989,470594,419487
202,406480,444658,430313,398211,404762,450513,420742,405615,411438,444754,417411,429363,409751,433729,414206,430561,423356,420135,426669,418256,404979,416873,425104,412154,438489,421335,437371,440609,411075,410780,472725,421333
203,408782,447112,433042,400324,406966,452992,423094,407823,413854,447509,419698,431764,412099,436230,416748,432857,425196,421962,428562,420086,406749,418653,426958,413902,440998,423992,439802,442961,413362,412988,475355,423481
204,411013,449457,435081,402594,409183,455445,425407,410048,416170,449614,421921,434285,414203,438585,418899,435157,427810,424484,430979,422618,409073,420885,429366,416013,443333,426014,442231,445650,415644,415287,477983,425980
205,413118,451494,437217,404291,411154,457793,427397,411712,418184,451773,423784,436128,416081,440624,420850,436978,430014,426768,433344,424712,411368,423235,431756,418579,445119,427665,443907,447267,417150,416915,479831,427618
206,414923,453860,439567,406384,413113,459852,429433,413830,420281,454240,426033,438620,418036,442894,422749,439407,431944,428533,435192,426509,413035,424934,433469,420228,447303,429652,446125,449395,419072,418823,481977,429706
207,416436,455449,440901,407773,414607,461444,431033,415341,421779,455670,427663,440027,419687,444360,424313,440811,433810,430442,437229,428503,414914,426899,435742,422270,449110,431556,447935,451330,420941,420763,484110,431472
208,418309,457818,443016,409784,416854,463597,433051,417193,423641,458068,429855,442512,421775,446293,426389,442823,435622,432249,439012,430421,416645,428907,437323,423891,451356,433650,450156,453357,422872,422505,486282,433405
209,420811,460284,445980,412507,419096,466286,435541,419618,426234,460663,432142,444897,424037,449199,428979,445710,437576,434143,441155,432467,418533,430938,439243,425735,454056,436208,452563,455814,425172,424988,489181,435847
210,422849,462710,448267,414295,420859,468961,437700,421939,428913,463142,434588,447124,427092,452116,431493,448128,440186,436819,443414,435035,420983,433532,441735,428237,456063,438253,454814,458226,427368,427083,491445,437984
211,424816,465043,450267,416437,422872,471108,439999,423924,430531,465020,436463,449229,428476,453619,433054,450071,442407,438986,445781,437218,423184,435449,444096,430433,458435,440424,457301,460747,429435,429357,494171,440305
212,426940,467270,452250,418299,425188,473066,441755,425835,432624,467251,438847,451399,430489,455677,435450,452165,444471,441097,448186,439426,425190,437490,446403,432577,460479,442250,459379,462462,431715,431110,496282,442367
213,428632,468971,453888,420019,426707,475240,443592,427438,434369,469267,440560,453350,432325,457671,437015,454145,446447,443440,450086,441118,426949,439707,448034,434513,462420,444223,461122,464567,433236,433203,498126,443968
214,430550,471164,456074,421766,428716,477451,445836,429573,436553,471352,442518,455457,434337,459722,439161,456289,448185,444763,451933,443020,428942,441303,449927,436287,464315,445918,463005,466388,434910,434760,500156,445796
215,432966,473809,458708,424097,431065,480300,448127,431759,438852,474100,445182,458059,436937,462631,441526,458889,450011,446624,453697,444814,430557,442977,451807,438135,467095,448771,465685,469201,437661,437404,503111,448353
