journal_wr_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
108,18903.0,18662.0,14690.0,14627.0,14018.0,15048.0,15691.0,14672.0,14911.0,14171.0,15399.0,14386.0,14727.0,14887.0,19612.0,19114.0,15176.0,14658.0,15697.0,15590.0,25674.0,27050.0,15971.0,15538.0,18406.0,17967.0,27781.0,32203.0,15042.0,15131.0,22195.0,24520.0
109,20073.0,21731.0,14724.0,15062.0,14454.0,14785.0,14682.0,15864.0,24876.0,24366.0,21766.0,21752.0,16690.0,17181.0,33672.0,33911.0,15138.0,14351.0,14845.0,14738.0,15294.0,14856.0,14446.0,14588.0,14096.0,15354.0,16718.0,16954.0,14581.0,14983.0,19272.0,20570.0
110,16680.0,17531.0,24182.0,23935.0,25598.0,25113.0,31201.0,34466.0,20007.0,19966.0,18116.0,17516.0,15713.0,16848.0,16188.0,15280.0,19811.0,18676.0,14869.0,15307.0,15231.0,15994.0,14874.0,14721.0,15164.0,16264.0,16798.0,16580.0,16483.0,15408.0,16099.0,17180.0
111,19488.0,17901.0,20626.0,21086.0,20738.0,23042.0,21826.0,22865.0,17849.0,16414.0,16064.0,17138.0,22635.0,24144.0,18629.0,16865.0,26558.0,24743.0,18671.0,19150.0,16240.0,16652.0,17079.0,16346.0,17732.0,18148.0,18026.0,20680.0,27930.0,26695.0,17772.0,16550.0
112,16695.0,18481.0,18940.0,18313.0,16203.0,19112.0,16116.0,18477.0,16283.0,17227.0,17914.0,16694.0,23278.0,24389.0,16622.0,16746.0,19392.0,17283.0,31243.0,31121.0,18383.0,18520.0,21128.0,20232.0,22752.0,24191.0,17630.0,16552.0,25315.0,23460.0,19602.0,19334.0
113,21908.0,20939.0,16830.0,16012.0,16628.0,17384.0,17903.0,16826.0,16795.0,16251.0,17185.0,16513.0,18773.0,17775.0,17495.0,16541.0,16238.0,16240.0,17036.0,18006.0,25206.0,25235.0,27032.0,27922.0,26566.0,30659.0,17398.0,17907.0,17284.0,16267.0,19806.0,20013.0
114,25266.0,26195.0,15155.0,14952.0,16723.0,17462.0,16058.0,15355.0,15497.0,14747.0,14757.0,15083.0,16545.0,15592.0,21147.0,21904.0,16940.0,17034.0,18495.0,18954.0,32913.0,33276.0,20054.0,19238.0,16174.0,17161.0,30436.0,30339.0,16161.0,16162.0,22809.0,21500.0
115,18668.0,17559.0,16494.0,16578.0,15651.0,16476.0,17198.0,16874.0,26936.0,26890.0,29484.0,31214.0,18603.0,18517.0,24593.0,23005.0,15660.0,16344.0,15729.0,15582.0,13582.0,14493.0,14144.0,13834.0,21900.0,21596.0,23611.0,25095.0,18126.0,17162.0,19332.0,18865.0
116,15918.0,14906.0,19402.0,20196.0,21739.0,22706.0,30165.0,30978.0,21532.0,18736.0,17700.0,17611.0,14568.0,15100.0,16332.0,17353.0,23640.0,22064.0,15948.0,16987.0,15890.0,16951.0,23593.0,22096.0,13821.0,13611.0,13651.0,13533.0,13902.0,14329.0,14470.0,14284.0
117,18207.0,19428.0,22434.0,21420.0,33937.0,38247.0,25613.0,24535.0,16627.0,16203.0,19750.0,20561.0,22982.0,23661.0,17305.0,16476.0,20375.0,19741.0,15854.0,16709.0,15447.0,17643.0,17178.0,16382.0,16203.0,16716.0,16023.0,16751.0,20856.0,19057.0,16347.0,17564.0
