commitcycle_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
197,0,0,0,0,0,0,0.526645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.033093,1.061867,0,0,0,1.031292,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.332868,1.258323,0,0,0,0,0,0,0,0,1.607408,1.555989
199,0.682458,0,1.362349,1.394033,0,0,0,0,0,0,0,0,0,0,0,0,1.424633,1.402457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0.772918,0,0,1.344515,1.320508,0,0,1.452125,1.423581,1.335574,1.353908,0.629916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671504,1.165214,1.115074,0,0,0,0,0,0,0,0,0,0,0,0,1.345694,1.31367,0,0
202,0,0,0,0,0,0,0.779874,0.697103,0,0,0,0,0,0,0,0,0,0,1.3121,1.318414,0,0,0,0,1.207883,1.228604,0.658051,0.770043,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.363773,1.253874,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.312784,1.359015,0,0,0,0,0,0,0,0,1.28227,1.325727
205,1.016126,0.58608,1.558023,1.558579,0,0,0,0,0,0,0,0.527777,0,0,0,0,1.220669,1.221707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,1.11756,1.071893,0,0,1.156446,1.162837,1.163144,0,0.805919,0.682658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
