journal_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
10,142024704,161406976,189841408,174469120,117374976,141905920,341397504,354177024,318099456,318337024,319610880,310173696,270938112,296079360,140840960,102285312,301035520,268091392,253546496,257748992,222605312,229765120,250347520,255823872,231518208,251691008,187478016,212709376,252411904,235225088,226897920,222908416
11,190042112,214011904,243281920,224776192,167800832,194736128,120320000,148652032,78745600,76161024,130953216,112640000,320237568,345899008,188977152,150667264,349614080,315797504,303570944,306290688,270745600,280875008,298414080,305119232,281468928,302448640,238223360,264736768,305131520,289333248,279891968,270553088
12,248991744,272752640,314097664,283594752,221184000,255754240,177315840,202629120,132927488,140439552,185393152,181346304,125825024,162193408,246624256,208760832,164794368,113852416,109580288,91246592,329723904,342921216,349171712,355102720,339992576,372330496,290299904,325152768,367710208,348753920,333897728,327938048
13,291430400,315658240,345767936,325607424,267694080,294350848,224116736,250155008,179671040,178741248,237486080,218292224,175104000,213045248,296488960,251854848,210186240,155688960,154300416,144232448,118865920,130793472,136065024,149524480,380792832,406814720,336867328,370069504,167546880,389513216,381493248,376369152
14,330825728,356319232,114380800,367812608,304713728,333778944,261914624,293441536,218718208,215691264,274227200,255426560,211357696,252612608,331677696,290754560,249053184,198021120,193839104,182267904,163274752,176529408,179523584,194457600,155357184,189218816,75091968,118808576,208506880,184840192,160821248,161099776
15,65376256,94711808,170971136,138878976,361381888,392695808,318140416,351891456,274026496,273649664,327016448,312705024,268374016,309157888,386580480,345153536,304050176,254713856,252395520,238116864,219504640,231333888,234676224,250527744,207880192,244592640,135028736,174530560,262832128,246353920,214544384,215494656
16,118935552,147865600,222527488,190681088,119529472,158306304,367161344,107663360,330407936,322985984,92782592,367837184,319696896,360833024,159481856,110923776,356069376,306184192,299151360,290537472,269803520,278110208,286588928,299225088,261558272,297234432,182198272,223043584,314396672,293027840,264130560,269266944
17,177631232,213295104,293523456,254468096,185364480,220741632,116989952,172216320,80240640,78376960,142589952,124456960,373706752,419299328,218083328,167403520,414187520,357101568,356089856,345022464,336973824,357433344,343404544,352628736,323936256,361938944,245698560,288309248,379211776,353931264,334708736,333430784
18,223735808,256020480,333672448,295624704,223096832,269156352,163065856,214495232,132427776,131620864,197505024,171114496,126627840,178896896,270581760,217767936,169521152,98807808,118300672,96735232,375508992,393408512,399147008,411140096,364032000,404619264,290279424,337092608,425365504,404160512,377393152,383475712
19,267567104,303828992,381198336,344780800,266752000,312369152,205373440,261312512,171757568,177360896,246943744,211640320,163037184,225280000,319729664,260841472,207740928,132378624,154791936,129830912,101556224,118849536,122347520,137781248,407629824,452349952,337940480,383651840,180793344,149934080,429969408,429780992
