bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
359,13396065545,13857045226,13850383191,13513447932,13316049266,13834328106,13618905781,13980812707,13658729527,13775081039,13708064026,13670341953,13645597362,14204046227,13807609160,13382552180,13797728209,13355786237,13710205110,13847835920,13613210205,13836840996,13770084810,13872033718,13435372334,13856088804,13557808751,13984550573,13718720501,13652853028,14025858077,13967301471
360,13442966409,13904725816,13897788782,13559828462,13361788211,13880085084,13664450057,14028626420,13701518591,13817694464,13749527293,13714523044,13687665223,14247856619,13848371805,13424028381,13818308666,13376090862,13731042283,13869016847,13633553822,13858666297,13791230852,13893433553,13474397805,13891274854,13600396654,14028176820,13762344093,13691462944,14068053708,14008170697
361,13465529230,13927828151,13922473338,13583890054,13386026481,13904537811,13688623567,14052353778,13728989977,13844056540,13776641683,13740340630,13714825337,14275444387,13873719980,13449386800,13865465266,13422020539,13780042194,13916028054,13681891240,13906181246,13838453716,13941772546,13498051700,13916185581,13625685950,14053752560,13785896389,13717499747,14095042395,14033601074
362,13497127618,13959659868,13952781934,13612686123,13415197217,13935439422,13718973967,14085374049,13760416867,13873803408,13804751172,13769769657,13742346578,14305905539,13903464835,13479492864,13889348260,13446116713,13802913131,13940652436,13704543450,13928993998,13860990688,13966447861,13528056789,13948113331,13655304542,14084534767,13817708090,13744113767,14124175522,14064915147
363,13531301348,13993191547,13989639332,13648226597,13447929638,13968961936,13752929863,14120051014,13800563980,13921438432,13847560986,13810845360,13788707595,14351600300,13948612341,13521518058,13919618080,13475096041,13834035796,13971657261,13734238544,13960885842,13893548152,13997984470,13572435636,13989204014,13701709913,14132189759,13862120474,13789191613,14171355585,14110343666
364,13560477509,14025453875,14019978502,13677483659,13478337196,14000994436,13783446102,14151911490,13822432619,13939799283,13870134558,13833377333,13809327721,14371881590,13972796463,13541281635,13954657379,13510175441,13868198052,14006316690,13769434873,13995098588,13927349007,14031915404,13595423801,14016799015,13720799253,14151758900,13883114590,13809835593,14191086050,14131075810
365,13594094738,14060954628,14055892173,13712084168,13512465762,14036333883,13818071042,14187258018,13861675976,13984094014,13912458622,13872872973,13845460562,14413623420,14014424531,13582520622,13986295932,13539049296,13899461501,14037263254,13799698929,14026607767,13959342310,14064566037,13635640621,14055947377,13759089217,14193995465,13925344096,13852756801,14232726959,14171242652
366,13642530588,14109178308,14104714415,13758468111,13557289395,14086458314,13862989717,14237620315,13907922560,14024819301,13957826383,13919310650,13891273262,14460622318,14057596254,13625896757,14021964595,13572899603,13934095618,14072290139,13832358219,14060717263,13993191620,14099380373,13676744670,14100339127,13805114776,14238261745,13969652156,13896726200,14278608386,14217125677
367,13678773043,14148835027,14144633578,13795026161,13594979396,14124960553,13900748573,14275827731,13947936199,14061964550,13994534137,13954190790,13926860656,14498228857,14094291284,13663984754,14068931898,13621050304,13983193996,14122401245,13880353960,14109311304,14040001076,14148426662,13712084152,14135892517,13840891094,14278963225,14003948755,13936691746,14314972614,14252794048
368,13717221116,14182830423,14178123651,13832908048,13629943190,14163095493,13938926285,14311996734,13981071037,14098604552,14030670612,13991115544,13962806149,14535947419,14129603003,13696597971,14110251739,13657373229,14021988372,14158514432,13917561121,14148319997,14079736001,14189063434,13747923689,14171886062,13876115933,14312569277,14040383931,13966325668,14351782813,14291368729
