kbmenfree,ceph01,ceph02,ceph03,ceph04
375,72798372.0,53134816.0,72681712.0,53612328.0
376,72620660.0,53000068.0,72561204.0,53465216.0
377,72519544.0,52856380.0,72429996.0,53330588.0
378,72352044.0,52692980.0,72308928.0,53208072.0
379,72289612.0,52599368.0,72159600.0,53132168.0
380,72231000.0,52673644.0,72224864.0,53117360.0
381,72052820.0,52450180.0,71969960.0,52934636.0
382,71851848.0,52297740.0,71806572.0,52746832.0
383,71692652.0,52151976.0,71637360.0,52604208.0
384,71612008.0,52079424.0,71569848.0,52532888.0
385,71494420.0,51981336.0,71453252.0,52491408.0
386,71310048.0,51876960.0,71296992.0,52375208.0
387,71252292.0,51692732.0,71105084.0,52189136.0
388,70889744.0,51434764.0,70820440.0,51970724.0
389,70690480.0,51141248.0,70580072.0,51709384.0
390,70665800.0,51076132.0,70574456.0,51568052.0
391,70620056.0,50964072.0,70463040.0,51476848.0
392,70527928.0,51093504.0,70505120.0,51465788.0
393,70416696.0,50865364.0,70343844.0,51342740.0
394,70263092.0,50721508.0,70223920.0,51184616.0
395,70137820.0,50564628.0,70102440.0,51061412.0
396,70077228.0,50558132.0,70044636.0,51033100.0
397,69887952.0,50412664.0,69909340.0,50940296.0
398,69815296.0,50272964.0,69792612.0,50849396.0
399,69709384.0,50103780.0,69696784.0,50781812.0
