journal_queue_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
223,0,0,0,0,24380,306478,0,94581,12190,0,6011,0,0,0,12022,0,6095,6095,0,30391,12190,0,0,0,6011,0,0,0,6095,0,0,0
224,0,0,0,0,176972,109206,36234,0,0,24296,0,0,0,0,610472,562433,42581,0,0,0,36234,6095,0,0,0,0,0,0,0,0,0,0
225,36318,0,0,0,12106,0,0,0,54519,0,0,6011,12190,6011,24128,0,0,0,464528,491847,0,0,0,0,48508,36150,0,42497,570662,497102,0,0
226,0,12190,0,0,0,0,0,0,0,84742,24296,12106,6095,52000,0,0,0,0,0,0,24296,0,12190,0,36402,6011,0,0,6095,0,0,12022
227,12190,6095,6095,54687,6095,30475,0,0,0,0,0,0,6095,0,18201,0,0,12106,72636,0,30475,24296,24296,18201,0,0,6095,0,0,0,0,0
228,0,0,0,0,0,6011,0,0,12106,6095,9671,0,0,0,0,0,18201,72636,94749,0,12190,6095,27872,0,0,0,0,60782,0,0,0,0
229,76548,6011,18285,0,36486,30223,0,6011,6011,52336,0,6011,0,6095,0,18201,12106,0,0,0,127575,91005,0,6095,0,0,97100,6095,6095,0,0,0
230,0,0,0,0,750790,610220,0,0,0,6095,0,0,0,176083,66793,6095,0,0,0,0,0,6095,0,0,0,12190,18201,0,0,0,0,91005
231,6095,0,0,0,6011,0,6095,6095,0,0,0,0,0,0,0,0,0,0,0,0,6011,0,0,0,547423,512868,0,0,0,84994,0,0
232,0,24296,6095,0,0,0,0,0,0,0,0,0,0,0,24128,0,6095,12190,24296,0,6011,0,6095,12106,0,66793,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0,0,6095,12190,6095,0,0,6095,12190,0,6095,66625,0,6095,12106,0,0,0,0,0,0,0,0
234,6095,0,0,0,0,0,0,0,0,0,0,18285,6095,6095,0,0,0,0,0,0,170072,492652,0,0,0,0,391556,460700,0,0,0,6095
235,6095,0,0,0,303406,679784,0,0,6095,24296,0,0,0,18117,428210,100592,0,0,0,0,6095,0,0,0,0,0,0,0,0,0,0,0
236,12190,0,6095,12190,0,0,12190,6095,12106,12106,42413,0,18117,30475,24296,0,0,30223,231743,369947,0,12190,0,0,30307,0,0,24380,0,0,0,0
237,0,0,0,0,0,6095,36402,237033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12106,0,0,42581,82559,60530,0,6011,24296,6095
238,0,0,0,0,6011,0,0,0,0,0,0,6095,0,12106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350906,831655,0,0
239,0,0,6011,0,0,0,58347,0,0,0,0,0,254898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,6095,0,6011,0,0,0,0,0,0,0,0,0,0,321019,48592,0,0,0,0,6011,6095,0,0,0,18117,0,6011,6095,6095,12190,6095
241,18201,6095,97016,48424,6095,6095,18285,0,0,36402,66709,18285,0,0,18285,0,24380,0,0,42413,0,0,0,0,6011,54435,0,0,0,0,0,0
242,0,60698,36318,0,24128,6095,72804,6095,6095,264653,42497,0,18201,6095,0,54603,0,0,0,0,0,0,0,0,36486,6095,24128,0,336785,6011,6095,0
243,0,0,0,36318,12106,0,0,0,0,0,18117,0,0,0,12106,0,0,18201,30475,36234,0,0,24296,0,0,12190,0,0,463654,778109,0,0
244,0,0,0,0,0,0,0,0,0,0,0,0,0,204123,0,12190,6095,0,0,6095,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,18201,6011,0,0,0,6095,0,6095,0,0,0,0,0,0,0,0,54519,0,0,6011,333629,357673,0,0,531657,157546,0,6095,12190,0
246,24212,6095,0,6011,48340,6095,48676,6095,0,0,0,0,0,0,521818,433885,115385,0,0,6095,0,66961,558556,6095,0,0,0,6011,85162,18201,0,0
247,0,6095,0,36486,6095,0,6095,0,70369,0,0,36234,12106,30307,0,6011,0,0,6095,0,0,0,0,6095,0,0,0,0,0,6095,0,0
248,0,0,0,6011,0,60614,0,18117,6095,6095,51916,6095,18117,12190,6095,12022,0,0,0,0,0,0,0,0,0,0,0,0,76212,0,6095,0
249,0,18201,0,0,0,0,0,0,12190,0,0,731868,0,0,0,0,6095,6095,6011,0,6011,0,0,6095,84994,0,0,0,218664,145860,0,0
250,0,6011,0,0,0,0,115637,415936,6095,0,0,0,0,0,0,0,0,6011,0,0,0,0,6095,0,36318,6095,315428,139765,0,6095,0,0
251,0,18285,0,6095,0,0,0,0,0,0,0,0,0,0,0,64274,0,0,27872,0,0,0,358177,97268,0,6011,0,18285,12190,6095,12106,0
252,6095,0,279026,231743,6011,12190,6011,12106,0,6011,18117,0,12190,78815,6095,18201,12106,0,0,0,30391,0,573818,6095,0,0,0,0,6011,0,0,0
253,0,0,0,6095,0,0,0,0,12190,24212,6095,12190,97268,24380,0,6095,12106,6011,0,6095,0,0,6011,6011,0,0,0,6011,0,0,0,0
254,12190,0,6011,0,121396,24212,72720,6095,0,0,0,792062,6095,0,6011,0,0,0,0,0,0,0,0,6095,0,12106,0,36318,169652,0,12106,0
255,0,0,0,0,6095,0,0,0,6095,12106,60614,6011,0,48592,0,0,0,0,6095,0,6095,0,6095,0,0,0,0,0,571082,0,0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345063,0,0,0,0,0,24296,0,0,0,0,36402,6011,30223,24380,0
257,0,6095,0,0,0,0,36234,12190,0,0,0,0,0,0,0,0,0,0,0,6095,0,0,58179,12106,0,30223,0,0,0,0,0,12022
258,0,6011,240105,0,0,0,0,0,0,0,6011,0,18201,6095,6011,0,0,0,0,30223,0,0,209798,42665,6095,6095,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,42413,0,0,0,0,12190,0,6011,0,0,0,0,0,0,0,12106,0,0,0,0,0,1186053,1030774
260,0,0,0,0,6095,0,12190,12106,0,6095,254814,880296,0,18201,48592,0,0,0,27872,0,12190,0,42497,0,0,6095,0,6095,12106,6095,0,39894
261,18201,6095,6095,0,0,0,0,0,0,9587,0,0,0,0,0,30391,0,6095,18285,0,0,6011,0,0,72972,0,54519,0,121480,0,0,0
262,0,0,0,18285,0,0,169904,78899,0,6095,0,0,0,0,0,0,0,0,0,0,0,6095,6011,0,6011,48508,6011,0,0,0,0,0
